place_id,name,area,town,latitude,longitude,concept,price_tier,rating,reviews_count,high_rating,log_reviews,weekly_hours,dist_centre_km,log_density,is_claimed,own_website,social_page_only,has_phone,has_menu_link,online_ordering,has_attributes,table_service,delivery,takes_reservations,restroom,wifi,free_parking,kid_friendly,outdoor_seating,wheelchair_access,card_payments,digital_payments,open_late,opens_early,has_hours,is_chain,veg_only
ChIJLysGnGlZqDsRGRNEZbEMhQM,Krishna Cafe,Tatabad,Coimbatore,11.02199,76.95637,Vegetarian,Budget,4.4,29,1,3.4011973816621555,87.0,3.0947177605775527,4.852030263919617,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ChIJlQDpCN9ZqDsRGIxJKymcYF8,Annapoorna Hotel,Kallimadai,Coimbatore,11.018983,76.953541,Multi-cuisine / General,Not disclosed,4.3,722,1,6.583409222158765,87.0,2.843728719559818,4.962844630259907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ChIJz1inSABZqDsRddR4uFO61Y0,Rithu's Kitchen,Edayarpalayam,Coimbatore,11.039779,76.92483,Multi-cuisine / General,Not disclosed,4.9,20,1,3.044522437723423,70.0,6.416309144165065,4.356708826689592,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
ChIJ3w7h6D1ZqDsRoUrl7loP9sg,Savor Kitchen,cbe,Coimbatore,11.03747,76.927093,Multi-cuisine / General,Mid,4.9,121,1,4.804021044733257,52.5,6.061737544642892,4.418840607796598,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0
ChIJU9qRCPNZqDsR5LosV6SQFak,C2 Chicken,Edayarpalayam,Coimbatore,11.041086,76.924549,Biryani & Non-veg,Not disclosed,4.5,152,1,5.030437921392435,85.0,6.549507424529109,4.3694478524670215,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ChIJG4q7PPZZqDsRJ-hLgvVBfO8,Hotel Siruvani,TVS Nagar,Coimbatore,11.042187,76.924406,Vegetarian,Not disclosed,3.5,273,0,5.6131281063880705,87.0,6.656005446753779,4.31748811353631,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ChIJMeWoueFZqDsRUm0bRiaf2iY,AKALYA MESS,Edayarpalayam,Coimbatore,11.031245,76.945746,Multi-cuisine / General,Budget,4.9,32,1,3.4965075614664802,87.0,4.418457843292948,4.8283137373023015,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ChIJw-OH83lZqDsRTBYLcPMuxWc,MARUTHAMALAYAN MEEN VARUVAL KADAI,Sivaji Colony,Coimbatore,11.036573,76.927615,Fast food & Quick bites,Not disclosed,5.0,27,1,3.332204510175204,31.5,5.948133917363547,4.430816798843313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ChIJAaZldPxYqDsRCEcEA9lMLKo,Rajbhavan's LunchBox,Tatabad,Coimbatore,11.01879,76.956789,South Indian & Regional,Not disclosed,3.8,497,0,6.210600077024653,105.0,2.736485244532163,5.056245805348308,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ChIJMVglPQBZqDsRQQyquWDRAhA,Skanda soups and healthy eats,Edayarpalayam,Coimbatore,11.039691,76.932955,Multi-cuisine / General,Not disclosed,5.0,13,1,2.639057329615259,94.0,5.897281471212728,4.330733340286331,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
ChIJ1QqiSpdYqDsR68LEO3CQFz4,Hotel Chola,Koundampalayam,Coimbatore,11.04493,76.946923,Fast food & Quick bites,Mid,3.6,296,0,5.6937321388027,84.0,5.815223340911892,4.127134385045092,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
ChIJWy8L7l9ZqDsRhE5PkbmwmV4,Kovai palagam.avin tea shop,Edayarpalayam,Coimbatore,11.03956,76.932347,Cafe & Beverages,Not disclosed,4.3,84,1,4.442651256490317,128.21666666666667,5.920179989176687,4.406719247264253,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ChIJv0dTDndZqDsRMvcV4edv_j8,Kovai Midnight Biriyani,Edayarpalayam,Coimbatore,11.038689,76.919528,Multi-cuisine / General,Budget,4.6,21,1,3.091042453358316,87.0,6.702278514158134,4.1588830833596715,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJs0TxmaNZqDsRgIRJAJXhICc,Kark murk Pani puri,Edayarpalayam,Coimbatore,11.039384,76.927387,Multi-cuisine / General,Budget,4.8,22,1,3.1354942159291497,87.0,6.211251677746794,4.430816798843313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJV8dNdUZZqDsRtt705RWPo1w,MD SPICY & CRISPY,Edayarpalayam,Coimbatore,11.036935,76.921318,Fast food & Quick bites,Budget,4.8,28,1,3.367295829986474,87.0,6.426413732496985,4.219507705176107,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ChIJ02_0--hYqDsRgaG0j3X7soE,The Donuts,Edayarpalayam,Coimbatore,11.038764,76.926305,Bakery & Desserts,Budget,4.2,90,1,4.51085950651685,80.0,6.228048677103928,4.394449154672439,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0
ChIJl-dM4LdZqDsR_BmnuA4ZC7Y,KMA CAKE SHOP,,,11.036919,76.920829,Bakery & Desserts,Not disclosed,5.0,25,1,3.258096538021482,87.0,6.461569713222956,4.174387269895637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJhW3uL2lZqDsR6IAP6LCqxyE,Kokkarako,Edayarpalayam,Coimbatore,11.038906,76.926025,Biryani & Non-veg,Budget,2.3,15,0,2.772588722239781,87.0,6.259310775038794,4.406719247264253,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ChIJF7XqgbFYqDsRS90oGcvwPPY,Sri Vinayaka Bakes,Edayarpalayam,Coimbatore,11.042586,76.924248,Bakery & Desserts,Not disclosed,4.0,268,0,5.594711379601839,133.0,6.7017490172845315,4.304065093204169,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ChIJ6-nyWRhZqDsRx8liHLO3Pa4,The Cake Time,Edayarpalayam,Coimbatore,11.035066,76.928426,Bakery & Desserts,Not disclosed,4.4,10,1,2.3978952727983707,87.0,5.761882836422916,4.418840607796598,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJjQcFom9ZqDsRSlBECeKxs8k,Cakspire Homemade cakes,Edayarpalayam,Coimbatore,11.039093,76.925916,Bakery & Desserts,Not disclosed,4.9,36,1,3.6109179126442243,168.0,6.283015707103217,4.406719247264253,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
ChIJk56t-QpZqDsR6ThHNrgKLEs,M Yum Cakes,Edayarpalayam,Coimbatore,11.034511,76.930805,Bakery & Desserts,Not disclosed,5.0,192,1,5.262690188904886,84.0,5.55393096019681,4.31748811353631,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
ChIJXQHxX65ZqDsR14dmiS6PisU,Santhosh bakery,Edayarpalayam,Coimbatore,11.039526,76.925789,Bakery & Desserts,Budget,4.3,15,1,2.772588722239781,87.0,6.32949857130943,4.394449154672439,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ChIJi3zlz7ZYqDsRWHL0nR_a1eQ,Kannabiran Bakery,Edayarpalayam,Coimbatore,11.03917,76.92609,Bakery & Desserts,Not disclosed,3.6,36,0,3.6109179126442243,119.0,6.278083427330271,4.406719247264253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ChIJncpcw7ZYqDsRBBGxPD47Tf4,Sri Raghavendra Iyengar Cakes,Edayarpalayam,Coimbatore,11.038683,76.926148,Bakery & Desserts,Not disclosed,4.5,12,1,2.5649493574615367,98.0,6.231515457150764,4.394449154672439,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ChIJOVuzosRZqDsRhj1fyqmypA0,Sweet Treats by Sneha,Edayarpalayam,Coimbatore,11.035361,76.924595,Bakery & Desserts,Mid,5.0,22,1,3.1354942159291497,87.0,6.0564148363113235,4.31748811353631,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ChIJd1XGWt9ZqDsRrMTX2eSpd9M,Sri Ganesh Sweets & Bakes,TVS Nagar,Coimbatore,11.044064,76.923354,Bakery & Desserts,Not disclosed,4.0,22,0,3.1354942159291497,98.0,6.891665271162432,4.0943445622221,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
